time_iso8601,stars_cumulative
2017-11-04 00:00:00+00:00,418
2017-11-05 00:00:00+00:00,419
2017-11-08 00:00:00+00:00,424
2017-11-13 00:00:00+00:00,427
2017-11-16 00:00:00+00:00,429
2017-11-17 00:00:00+00:00,432
2017-11-18 00:00:00+00:00,434
2017-11-19 00:00:00+00:00,437
2017-11-20 00:00:00+00:00,441
2017-11-21 00:00:00+00:00,443
2017-11-22 00:00:00+00:00,448
2017-11-23 00:00:00+00:00,451
2017-11-24 00:00:00+00:00,454
2017-11-25 00:00:00+00:00,455
2017-11-26 00:00:00+00:00,457
2017-11-27 00:00:00+00:00,459
2017-11-29 00:00:00+00:00,463
2017-11-30 00:00:00+00:00,464
2017-12-02 00:00:00+00:00,466
2017-12-04 00:00:00+00:00,469
2017-12-05 00:00:00+00:00,472
2017-12-06 00:00:00+00:00,476
2017-12-07 00:00:00+00:00,481
2017-12-08 00:00:00+00:00,483
2017-12-09 00:00:00+00:00,484
2017-12-13 00:00:00+00:00,485
2017-12-14 00:00:00+00:00,486
2017-12-18 00:00:00+00:00,490
2017-12-20 00:00:00+00:00,491
2017-12-21 00:00:00+00:00,495
2017-12-23 00:00:00+00:00,497
2017-12-25 00:00:00+00:00,498
2017-12-26 00:00:00+00:00,500
2017-12-29 00:00:00+00:00,502
2017-12-31 00:00:00+00:00,507
2018-01-02 00:00:00+00:00,509
2018-01-03 00:00:00+00:00,510
2018-01-04 00:00:00+00:00,512
2018-01-05 00:00:00+00:00,513
2018-01-06 00:00:00+00:00,514
2018-01-08 00:00:00+00:00,515
2018-01-09 00:00:00+00:00,516
2018-01-10 00:00:00+00:00,517
2018-01-12 00:00:00+00:00,524
2018-01-15 00:00:00+00:00,525
2018-01-16 00:00:00+00:00,528
2018-01-17 00:00:00+00:00,533
2018-01-18 00:00:00+00:00,539
2018-01-19 00:00:00+00:00,542
2018-01-20 00:00:00+00:00,545
2018-01-21 00:00:00+00:00,546
2018-01-22 00:00:00+00:00,552
2018-01-23 00:00:00+00:00,557
2018-01-24 00:00:00+00:00,558
2018-01-25 00:00:00+00:00,565
2018-01-26 00:00:00+00:00,569
2018-01-27 00:00:00+00:00,570
2018-01-28 00:00:00+00:00,572
