time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-06 00:00:00+00:00,9,8,684,164
2023-05-07 00:00:00+00:00,39,11,756,197
2023-05-08 00:00:00+00:00,361,22,3713,658
2023-05-09 00:00:00+00:00,1086,24,4383,632
2023-05-10 00:00:00+00:00,317,12,4016,665
2023-05-11 00:00:00+00:00,527,30,3764,729
2023-05-12 00:00:00+00:00,515,23,4120,591
2023-05-13 00:00:00+00:00,8,8,870,174
2023-05-14 00:00:00+00:00,5,5,726,152
2023-05-15 00:00:00+00:00,527,29,3844,650
2023-05-16 00:00:00+00:00,638,24,4204,688
2023-05-17 00:00:00+00:00,435,24,4038,707
2023-05-18 00:00:00+00:00,424,23,3141,594
2023-05-19 00:00:00+00:00,200,23,3764,783
2023-05-20 00:00:00+00:00,26,14,1491,363
2023-05-21 00:00:00+00:00,20,13,1786,301
2023-05-22 00:00:00+00:00,527,17,4657,768
2023-05-23 00:00:00+00:00,430,24,4255,783
2023-05-24 00:00:00+00:00,359,21,4553,812
2023-05-25 00:00:00+00:00,544,43,4241,764
2023-05-26 00:00:00+00:00,109,24,3301,598
2023-05-27 00:00:00+00:00,33,13,1086,174
2023-05-28 00:00:00+00:00,35,23,903,162
2023-05-29 00:00:00+00:00,66,15,2336,503
2023-05-30 00:00:00+00:00,117,16,3840,728
2023-05-31 00:00:00+00:00,770,31,4294,714
2023-06-01 00:00:00+00:00,388,24,4047,650
2023-06-02 00:00:00+00:00,305,10,3682,548
2023-06-03 00:00:00+00:00,9,6,1095,201
2023-06-04 00:00:00+00:00,37,14,1471,206
2023-06-05 00:00:00+00:00,172,15,3707,629
2023-06-06 00:00:00+00:00,710,32,4114,737
2023-06-07 00:00:00+00:00,559,19,4304,691
2023-06-08 00:00:00+00:00,424,30,3922,701
2023-06-09 00:00:00+00:00,184,11,3286,552
2023-06-10 00:00:00+00:00,10,8,1219,164
2023-06-11 00:00:00+00:00,183,16,1377,155
2023-06-12 00:00:00+00:00,528,18,5131,727
2023-06-13 00:00:00+00:00,736,18,5085,787
2023-06-14 00:00:00+00:00,245,25,4153,779
2023-06-15 00:00:00+00:00,280,20,4812,698
2023-06-16 00:00:00+00:00,379,23,4365,640
2023-06-17 00:00:00+00:00,39,7,808,160
2023-06-18 00:00:00+00:00,18,13,1207,173
2023-06-19 00:00:00+00:00,562,26,3726,676
2023-06-20 00:00:00+00:00,714,23,5828,695
2023-06-21 00:00:00+00:00,365,17,4533,679
2023-06-22 00:00:00+00:00,622,23,3770,630
2023-06-23 00:00:00+00:00,717,24,3628,609
2023-06-24 00:00:00+00:00,28,9,837,168
2023-06-25 00:00:00+00:00,45,14,894,189
2023-06-26 00:00:00+00:00,539,18,4787,672
2023-06-27 00:00:00+00:00,336,19,4354,718
2023-06-28 00:00:00+00:00,521,22,4673,739
2023-06-29 00:00:00+00:00,311,20,4460,607
2023-06-30 00:00:00+00:00,153,16,3486,540
2023-07-01 00:00:00+00:00,24,21,1024,153
2023-07-02 00:00:00+00:00,19,16,1213,197
2023-07-03 00:00:00+00:00,70,16,3790,622
2023-07-04 00:00:00+00:00,38,18,4294,579
2023-07-05 00:00:00+00:00,594,28,4724,722
2023-07-06 00:00:00+00:00,878,29,5542,741
2023-07-07 00:00:00+00:00,432,13,4699,607
2023-07-08 00:00:00+00:00,63,12,944,162
2023-07-09 00:00:00+00:00,15,12,1090,168
2023-07-10 00:00:00+00:00,448,24,6350,695
2023-07-11 00:00:00+00:00,878,21,5643,752
2023-07-12 00:00:00+00:00,1178,23,6663,754
2023-07-13 00:00:00+00:00,788,22,4674,701
2023-07-14 00:00:00+00:00,440,18,5028,617
2023-07-15 00:00:00+00:00,6,5,1153,172
2023-07-16 00:00:00+00:00,90,27,1167,173
2023-07-17 00:00:00+00:00,665,26,5585,691
2023-07-18 00:00:00+00:00,195,20,5692,697
2023-07-19 00:00:00+00:00,445,16,5116,734
2023-07-20 00:00:00+00:00,511,25,5714,690
2023-07-21 00:00:00+00:00,665,26,3570,528
2023-07-22 00:00:00+00:00,85,10,1337,167
2023-07-23 00:00:00+00:00,37,10,1155,149
2023-07-24 00:00:00+00:00,406,28,5410,741
2023-07-25 00:00:00+00:00,590,18,5480,683
2023-07-26 00:00:00+00:00,362,18,5204,683
2023-07-27 00:00:00+00:00,370,17,5629,735
2023-07-28 00:00:00+00:00,393,32,4354,567
2023-07-29 00:00:00+00:00,13,7,1229,179
2023-07-30 00:00:00+00:00,52,19,1403,194
2023-07-31 00:00:00+00:00,608,27,5580,688
2023-08-01 00:00:00+00:00,533,22,5194,710
2023-08-02 00:00:00+00:00,534,22,5677,749
2023-08-03 00:00:00+00:00,499,26,5330,650
2023-08-04 00:00:00+00:00,524,30,5413,586
2023-08-05 00:00:00+00:00,114,17,1694,169
2023-08-06 00:00:00+00:00,30,13,1120,180
2023-08-07 00:00:00+00:00,534,24,4572,635
2023-08-08 00:00:00+00:00,212,25,3286,602
2023-08-09 00:00:00+00:00,114,21,4197,645
2023-08-10 00:00:00+00:00,245,24,3978,688
2023-08-11 00:00:00+00:00,192,16,3847,591
2023-08-12 00:00:00+00:00,24,8,1210,155
2023-08-13 00:00:00+00:00,21,11,1319,173
2023-08-14 00:00:00+00:00,230,21,4313,632
2023-08-15 00:00:00+00:00,192,15,4292,569
2023-08-16 00:00:00+00:00,550,33,5000,676
2023-08-17 00:00:00+00:00,412,21,5610,705
2023-08-18 00:00:00+00:00,318,14,4518,647
2023-08-19 00:00:00+00:00,83,10,1103,202
2023-08-20 00:00:00+00:00,39,14,1102,165
2023-08-21 00:00:00+00:00,497,21,5335,714
2023-08-22 00:00:00+00:00,888,24,5784,755
2023-08-23 00:00:00+00:00,837,28,5160,758
2023-08-24 00:00:00+00:00,901,43,5608,734
2023-08-25 00:00:00+00:00,176,27,4498,614
2023-08-26 00:00:00+00:00,24,10,1145,145
2023-08-27 00:00:00+00:00,12,9,1176,161
2023-08-28 00:00:00+00:00,375,32,4842,655
2023-08-29 00:00:00+00:00,384,61,5081,661
2023-08-30 00:00:00+00:00,208,34,5225,639
2023-08-31 00:00:00+00:00,391,66,4404,632
2023-09-01 00:00:00+00:00,360,56,4248,561
2023-09-02 00:00:00+00:00,26,16,875,153
2023-09-03 00:00:00+00:00,37,15,926,155
2023-09-04 00:00:00+00:00,144,29,3815,478
2023-09-05 00:00:00+00:00,381,57,5500,621
2023-09-06 00:00:00+00:00,503,58,5377,725
2023-09-07 00:00:00+00:00,66,20,3682,602
2023-09-08 00:00:00+00:00,641,69,4565,574
2023-09-09 00:00:00+00:00,81,23,1709,174
2023-09-10 00:00:00+00:00,49,23,992,168
2023-09-11 00:00:00+00:00,1963,66,5559,633
2023-09-12 00:00:00+00:00,625,73,5973,755
2023-09-13 00:00:00+00:00,347,50,5670,721
2023-09-14 00:00:00+00:00,391,54,5509,679
2023-09-15 00:00:00+00:00,204,38,3963,571
2023-09-16 00:00:00+00:00,76,20,1071,165
2023-09-17 00:00:00+00:00,41,19,1019,177
2023-09-18 00:00:00+00:00,894,77,4793,603
2023-09-19 00:00:00+00:00,387,51,4632,647
2023-09-20 00:00:00+00:00,544,81,4710,661
2023-09-21 00:00:00+00:00,129,33,4517,621
2023-09-22 00:00:00+00:00,162,33,4992,553
2023-09-23 00:00:00+00:00,26,13,2324,191
2023-09-24 00:00:00+00:00,100,22,898,172
2023-09-25 00:00:00+00:00,261,39,4171,656
2023-09-26 00:00:00+00:00,413,45,4955,661
2023-09-27 00:00:00+00:00,328,49,5420,715
2023-09-28 00:00:00+00:00,1325,43,4793,614
2023-09-29 00:00:00+00:00,257,41,3741,541
2023-09-30 00:00:00+00:00,79,19,1197,174
2023-10-01 00:00:00+00:00,60,20,1473,187
2023-10-02 00:00:00+00:00,627,79,4206,561
2023-10-03 00:00:00+00:00,301,44,4847,680
2023-10-04 00:00:00+00:00,633,77,5498,727
2023-10-05 00:00:00+00:00,209,35,5020,700
2023-10-06 00:00:00+00:00,210,32,4340,616
2023-10-07 00:00:00+00:00,90,13,1998,234
2023-10-08 00:00:00+00:00,62,20,1710,221
2023-10-09 00:00:00+00:00,571,64,4957,637
2023-10-10 00:00:00+00:00,1161,82,5087,722
2023-10-11 00:00:00+00:00,830,78,5841,698
2023-10-12 00:00:00+00:00,119,25,6272,659
2023-10-13 00:00:00+00:00,254,37,4206,694
2023-10-14 00:00:00+00:00,96,21,1184,167
2023-10-15 00:00:00+00:00,55,28,1284,186
2023-10-16 00:00:00+00:00,617,69,4167,665
2023-10-17 00:00:00+00:00,597,66,5395,708
2023-10-18 00:00:00+00:00,840,79,5112,650
2023-10-19 00:00:00+00:00,699,74,4921,707
2023-10-20 00:00:00+00:00,837,89,5143,554
2023-10-21 00:00:00+00:00,46,23,1436,207
2023-10-22 00:00:00+00:00,60,20,1478,164
2023-10-23 00:00:00+00:00,584,68,4681,640
2023-10-24 00:00:00+00:00,385,44,4785,637
2023-10-25 00:00:00+00:00,586,72,4956,741
2023-10-26 00:00:00+00:00,1145,97,5021,708
2023-10-27 00:00:00+00:00,243,40,4497,589
2023-10-28 00:00:00+00:00,88,19,1227,162
2023-10-29 00:00:00+00:00,26,13,1509,207
2023-10-30 00:00:00+00:00,631,61,5161,739
2023-10-31 00:00:00+00:00,2775,112,4893,659
2023-11-01 00:00:00+00:00,641,73,4214,606
2023-11-02 00:00:00+00:00,355,41,3935,630
2023-11-03 00:00:00+00:00,187,28,3470,535
2023-11-04 00:00:00+00:00,11,5,1374,181
2023-11-05 00:00:00+00:00,34,16,1345,177
2023-11-06 00:00:00+00:00,344,39,4357,614
2023-11-07 00:00:00+00:00,315,42,4639,620
2023-11-08 00:00:00+00:00,687,82,4839,700
2023-11-09 00:00:00+00:00,670,64,5612,669
2023-11-10 00:00:00+00:00,472,62,4308,560
2023-11-11 00:00:00+00:00,30,10,1138,162
2023-11-12 00:00:00+00:00,26,13,1128,148
2023-11-13 00:00:00+00:00,648,67,4810,599
2023-11-14 00:00:00+00:00,1089,70,4735,636
2023-11-15 00:00:00+00:00,349,39,4606,589
2023-11-16 00:00:00+00:00,516,62,4155,647
2023-11-17 00:00:00+00:00,340,40,3033,513
2023-11-18 00:00:00+00:00,26,13,1208,155
2023-11-19 00:00:00+00:00,43,18,814,160
2023-11-20 00:00:00+00:00,376,57,4367,587
2023-11-21 00:00:00+00:00,511,61,4212,647
2023-11-22 00:00:00+00:00,86,24,3682,579
2023-11-23 00:00:00+00:00,68,13,3082,487
2023-11-24 00:00:00+00:00,66,21,3311,447
2023-11-25 00:00:00+00:00,55,15,1112,165
2023-11-26 00:00:00+00:00,49,20,1216,160
2023-11-27 00:00:00+00:00,538,50,5616,633
2023-11-28 00:00:00+00:00,935,91,4518,639
2023-11-29 00:00:00+00:00,337,49,4688,637
2023-11-30 00:00:00+00:00,654,67,4228,628
2023-12-01 00:00:00+00:00,389,51,3789,549
2023-12-02 00:00:00+00:00,31,18,1497,193
2023-12-03 00:00:00+00:00,109,29,1138,196
