time_iso8601,forks_cumulative
2019-01-12 00:00:00+00:00,183
2019-01-23 00:00:00+00:00,184
2019-01-31 00:00:00+00:00,185
2019-02-01 00:00:00+00:00,186
2019-02-05 00:00:00+00:00,188
2019-02-07 00:00:00+00:00,189
2019-02-11 00:00:00+00:00,190
2019-02-12 00:00:00+00:00,191
2019-02-14 00:00:00+00:00,192
2019-02-19 00:00:00+00:00,193
2019-02-25 00:00:00+00:00,194
2019-03-13 00:00:00+00:00,195
2019-03-15 00:00:00+00:00,197
2019-03-19 00:00:00+00:00,198
2019-03-20 00:00:00+00:00,199
2019-03-23 00:00:00+00:00,200
2019-03-28 00:00:00+00:00,201
2019-04-01 00:00:00+00:00,202
2019-04-09 00:00:00+00:00,203
2019-04-22 00:00:00+00:00,204
2019-04-23 00:00:00+00:00,206
2019-04-24 00:00:00+00:00,207
2019-04-29 00:00:00+00:00,208
2019-05-08 00:00:00+00:00,209
2019-05-12 00:00:00+00:00,210
2019-05-13 00:00:00+00:00,212
2019-05-14 00:00:00+00:00,214
2019-05-15 00:00:00+00:00,215
2019-05-16 00:00:00+00:00,216
2019-05-17 00:00:00+00:00,219
2019-05-21 00:00:00+00:00,220
2019-05-28 00:00:00+00:00,222
2019-06-01 00:00:00+00:00,224
2019-06-03 00:00:00+00:00,226
2019-06-04 00:00:00+00:00,227
2019-06-05 00:00:00+00:00,228
2019-06-08 00:00:00+00:00,229
2019-06-10 00:00:00+00:00,230
2019-06-11 00:00:00+00:00,231
2019-06-12 00:00:00+00:00,232
2019-06-13 00:00:00+00:00,233
2019-06-17 00:00:00+00:00,234
2019-06-18 00:00:00+00:00,236
2019-06-20 00:00:00+00:00,237
2019-06-24 00:00:00+00:00,239
2019-06-25 00:00:00+00:00,242
2019-06-27 00:00:00+00:00,243
2019-06-28 00:00:00+00:00,244
2019-07-02 00:00:00+00:00,245
2019-07-03 00:00:00+00:00,247
2019-07-04 00:00:00+00:00,248
2019-07-05 00:00:00+00:00,249
2019-07-13 00:00:00+00:00,252
2019-07-14 00:00:00+00:00,253
2019-07-15 00:00:00+00:00,255
2019-07-16 00:00:00+00:00,256
2019-07-26 00:00:00+00:00,257
2019-07-29 00:00:00+00:00,259
2019-07-30 00:00:00+00:00,261
2019-07-31 00:00:00+00:00,266
2019-08-01 00:00:00+00:00,268
2019-08-05 00:00:00+00:00,269
2019-08-06 00:00:00+00:00,271
2019-08-07 00:00:00+00:00,272
2019-08-08 00:00:00+00:00,274
2019-08-09 00:00:00+00:00,275
2019-08-10 00:00:00+00:00,277
2019-08-13 00:00:00+00:00,278
2019-08-14 00:00:00+00:00,279
2019-08-15 00:00:00+00:00,280
2019-08-16 00:00:00+00:00,281
2019-08-18 00:00:00+00:00,282
2019-08-19 00:00:00+00:00,284
2019-08-20 00:00:00+00:00,286
2019-08-21 00:00:00+00:00,288
2019-08-22 00:00:00+00:00,289
2019-08-23 00:00:00+00:00,291
2019-08-26 00:00:00+00:00,292
2019-08-28 00:00:00+00:00,293
2019-08-30 00:00:00+00:00,294
2019-09-01 00:00:00+00:00,295
2019-09-02 00:00:00+00:00,296
