time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-29 00:00:00+00:00,191,29,1595,198
2023-09-30 00:00:00+00:00,79,19,1197,174
2023-10-01 00:00:00+00:00,60,20,1473,187
2023-10-02 00:00:00+00:00,627,79,4206,561
2023-10-03 00:00:00+00:00,301,44,4847,680
2023-10-04 00:00:00+00:00,633,77,5498,727
2023-10-05 00:00:00+00:00,209,35,5020,700
2023-10-06 00:00:00+00:00,210,32,4340,616
2023-10-07 00:00:00+00:00,90,13,1998,234
2023-10-08 00:00:00+00:00,62,20,1710,221
2023-10-09 00:00:00+00:00,571,64,4957,637
2023-10-10 00:00:00+00:00,1161,82,5087,722
2023-10-11 00:00:00+00:00,830,78,5841,698
2023-10-12 00:00:00+00:00,119,25,6272,659
2023-10-13 00:00:00+00:00,101,19,2242,336
