url_path,views_total,views_unique
/carbon-design-system/carbon,2451,1520
/carbon-design-system/carbon/pulls,1129,92
/carbon-design-system/carbon/issues,789,216
/carbon-design-system/carbon/tree/main/packages/react,464,356
/carbon-design-system/carbon/tree/main/packages,221,153
/carbon-design-system/carbon/tree/main/packages/icons,202,144
/carbon-design-system/carbon/tree/main/packages/web-components,194,165
/carbon-design-system/carbon/releases,126,75
/carbon-design-system/carbon/pull/22971,125,73
/carbon-design-system/carbon/tree/main,110,83
