time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,1100,135,2714,683
2026-04-09 00:00:00+00:00,421,86,2034,500
2026-04-10 00:00:00+00:00,949,98,2154,502
2026-04-11 00:00:00+00:00,571,86,835,260
2026-04-12 00:00:00+00:00,9029,130,569,195
2026-04-13 00:00:00+00:00,955,114,1566,451
2026-04-14 00:00:00+00:00,1526,193,1998,488
2026-04-15 00:00:00+00:00,490,93,1683,429
2026-04-16 00:00:00+00:00,1129,149,1817,392
2026-04-17 00:00:00+00:00,471,132,1247,415
2026-04-18 00:00:00+00:00,200,56,570,211
2026-04-19 00:00:00+00:00,188,88,470,208
2026-04-20 00:00:00+00:00,13098,223,2253,490
2026-04-21 00:00:00+00:00,1718,235,1960,495
