url_path,views_total,views_unique
/carbon-design-system/carbon,2084,1208
/carbon-design-system/carbon/tree/main/packages/react,1065,661
/carbon-design-system/carbon/pulls,654,88
/carbon-design-system/carbon/commits,584,8
/carbon-design-system/carbon/issues,525,203
/carbon-design-system/carbon/tree/main/packages,379,237
/carbon-design-system/carbon/blob/main/docs/migration/v11.md,336,142
/carbon-design-system/carbon/tree/main/packages/web-components,327,226
/carbon-design-system/carbon/tree/main/packages/icons,304,191
/carbon-design-system/carbon/tree/main/packages/react/src/components,240,137
