referrer,views_total,views_unique
Google,3199,1201
carbondesignsystem.com,2148,690
react.carbondesignsystem.com,1912,401
github.com,1321,289
ibm.com,278,41
DuckDuckGo,127,21
Bing,106,34
v10.carbondesignsystem.com,80,32
github.ibm.com,69,36
web-components.carbondesignsystem.com,54,4
