time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,10107,7287,1645,581
2026-08-02 00:00:00+00:00,865,124,1386,524
2026-08-03 00:00:00+00:00,2784,246,2073,822
2026-08-04 00:00:00+00:00,10210,184,1710,661
2026-08-05 00:00:00+00:00,3789,227,2582,779
2026-08-06 00:00:00+00:00,5085,255,1947,583
2026-08-07 00:00:00+00:00,2131,260,1474,431
2026-08-08 00:00:00+00:00,2862,234,983,446
2026-08-09 00:00:00+00:00,815,187,693,341
2026-08-10 00:00:00+00:00,1966,180,2156,486
2026-08-11 00:00:00+00:00,4579,179,2473,645
2026-08-12 00:00:00+00:00,2117,229,2218,511
2026-08-13 00:00:00+00:00,2166,205,2182,534
2026-08-14 00:00:00+00:00,3592,267,2859,800
