url_path,views_total,views_unique
/carbon-design-system/carbon,2137,1189
/carbon-design-system/carbon/pulls,1437,91
/carbon-design-system/carbon/issues,1042,233
/carbon-design-system/carbon/tree/main/packages/react,1025,641
/carbon-design-system/carbon/tree/main/packages,443,250
/carbon-design-system/carbon/tree/main/packages/web-components,336,228
/carbon-design-system/carbon/tree/main/packages/icons,312,197
/carbon-design-system/carbon/tree/main/packages/react/src/components,220,133
/carbon-design-system/carbon/releases,209,109
/carbon-design-system/carbon/tree/main/packages/react/src/components/UIShell,198,89
