time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-18 00:00:00+00:00,421,8,1028,204
2024-10-19 00:00:00+00:00,93,3,572,185
2024-10-20 00:00:00+00:00,42,5,804,189
2024-10-21 00:00:00+00:00,773,10,3288,650
2024-10-22 00:00:00+00:00,533,6,2949,704
2024-10-23 00:00:00+00:00,1308,17,3439,717
2024-10-24 00:00:00+00:00,879,13,3535,728
2024-10-25 00:00:00+00:00,576,13,3002,616
2024-10-26 00:00:00+00:00,72,6,654,160
2024-10-27 00:00:00+00:00,5,4,705,189
2024-10-28 00:00:00+00:00,1011,14,2858,622
2024-10-29 00:00:00+00:00,918,12,2824,676
2024-10-30 00:00:00+00:00,223,9,2036,573
2024-10-31 00:00:00+00:00,211,6,1692,443
2024-11-01 00:00:00+00:00,29,1,445,160
