referrer,views_total,views_unique
github.com,3150,584
carbondesignsystem.com,1916,743
Google,1706,746
react.carbondesignsystem.com,844,229
ibm.com,138,52
chatgpt.com,136,57
web-components.carbondesignsystem.com,131,20
iconsear.ch,130,82
preview.carbondesignsystem.com,114,38
DuckDuckGo,83,23
