url_path,views_total,views_unique
/carbon-design-system/carbon,1748,1143
/carbon-design-system/carbon/pulls,793,66
/carbon-design-system/carbon/tree/main/packages/react,506,391
/carbon-design-system/carbon/issues,462,137
/carbon-design-system/carbon/tree/main/packages,236,134
/carbon-design-system/carbon/tree/main/packages/web-components,193,158
/carbon-design-system/carbon/tree/main/packages/icons,188,146
/carbon-design-system/carbon/tree/main,129,82
/carbon-design-system/carbon/tree/main/packages/icons/src/svg,127,86
/carbon-design-system/carbon/releases,95,55
