url_path,views_total,views_unique
/carbon-design-system/carbon,2165,1180
/carbon-design-system/carbon/pulls,1437,102
/carbon-design-system/carbon/issues,1324,242
/carbon-design-system/carbon/tree/main/packages/react,986,651
/carbon-design-system/carbon/tree/main/packages,416,232
/carbon-design-system/carbon/tree/main/packages/icons,330,229
/carbon-design-system/carbon/tree/main/packages/web-components,313,214
/carbon-design-system/carbon/releases,236,106
/carbon-design-system/carbon/tree/main/packages/react/src/components,222,147
/carbon-design-system/carbon/tree/main,199,126
