time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-22 00:00:00+00:00,394,37,967,230
2025-07-23 00:00:00+00:00,1199,116,3234,599
2025-07-24 00:00:00+00:00,1021,113,2886,567
2025-07-25 00:00:00+00:00,319,144,2145,492
2025-07-26 00:00:00+00:00,170,41,660,161
2025-07-27 00:00:00+00:00,70,37,512,147
2025-07-28 00:00:00+00:00,601,84,2558,557
2025-07-29 00:00:00+00:00,636,91,2994,589
2025-07-30 00:00:00+00:00,798,103,2925,586
2025-07-31 00:00:00+00:00,674,81,2933,599
2025-08-01 00:00:00+00:00,441,38,2239,476
2025-08-02 00:00:00+00:00,305,32,665,198
2025-08-03 00:00:00+00:00,247,43,470,190
2025-08-04 00:00:00+00:00,1780,91,3009,548
2025-08-05 00:00:00+00:00,582,52,1440,324
