time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-20 00:00:00+00:00,104,17,154,49
2025-04-21 00:00:00+00:00,1236,96,2004,452
2025-04-22 00:00:00+00:00,2072,139,3769,641
2025-04-23 00:00:00+00:00,1031,101,3320,636
2025-04-24 00:00:00+00:00,509,63,2396,601
2025-04-25 00:00:00+00:00,190,45,2313,492
2025-04-26 00:00:00+00:00,87,22,411,137
2025-04-27 00:00:00+00:00,66,22,461,145
2025-04-28 00:00:00+00:00,591,67,2478,570
2025-04-29 00:00:00+00:00,567,72,2995,573
2025-04-30 00:00:00+00:00,919,84,2266,537
2025-05-01 00:00:00+00:00,466,62,1707,370
2025-05-02 00:00:00+00:00,323,50,1774,485
2025-05-03 00:00:00+00:00,56,21,424,136
2025-05-04 00:00:00+00:00,35,21,398,120
