url_path,views_total,views_unique
/carbon-design-system/carbon,2003,1169
/carbon-design-system/carbon/tree/main/packages/react,973,617
/carbon-design-system/carbon/pulls,663,76
/carbon-design-system/carbon/issues,560,194
/carbon-design-system/carbon/tree/main/packages,426,239
/carbon-design-system/carbon/tree/main/packages/web-components,317,210
/carbon-design-system/carbon/blob/main/docs/migration/v11.md,300,135
/carbon-design-system/carbon/tree/main/packages/icons,279,178
/carbon-design-system/carbon/tree/main/packages/react/src/components,279,138
/carbon-design-system/carbon/tree/main/packages/react/src,211,125
