referrer,views_total,views_unique
Google,6223,2470
carbondesignsystem.com,4234,1122
github.com,2199,291
react.carbondesignsystem.com,1392,352
ibm.com,402,106
next.carbondesignsystem.com,209,54
statics.teams.cdn.office.net,206,22
npmjs.com,159,55
DuckDuckGo,136,32
v10.carbondesignsystem.com,124,39
