url_path,views_total,views_unique
/carbon-design-system/carbon,2556,1489
/carbon-design-system/carbon/pulls,1405,76
/carbon-design-system/carbon/issues,623,170
/carbon-design-system/carbon/tree/main/packages/react,474,377
/carbon-design-system/carbon/tags,427,131
/carbon-design-system/carbon/tree/main/packages/web-components,210,174
/carbon-design-system/carbon/tree/main/packages/icons,199,139
/carbon-design-system/carbon/releases,180,80
/carbon-design-system/carbon/tree/main/packages,164,117
/carbon-design-system/carbon/pull/22891,118,14
