url_path,views_total,views_unique
/carbon-design-system/carbon,2130,1236
/carbon-design-system/carbon/tree/main/packages/react,1002,628
/carbon-design-system/carbon/issues,995,247
/carbon-design-system/carbon/pulls,932,95
/carbon-design-system/carbon/tree/main/packages,368,237
/carbon-design-system/carbon/tree/main/packages/web-components,305,226
/carbon-design-system/carbon/blob/main/docs/migration/v11.md,276,123
/carbon-design-system/carbon/tree/main/packages/icons,248,184
/carbon-design-system/carbon/tree/main/packages/react/src/components,185,116
/carbon-design-system/carbon/releases,163,74
