url_path,views_total,views_unique
/carbon-design-system/carbon,1877,1180
/carbon-design-system/carbon/issues,658,172
/carbon-design-system/carbon/pulls,526,62
/carbon-design-system/carbon/tree/main/packages/react,456,354
/carbon-design-system/carbon/commits,436,68
/carbon-design-system/carbon/tree/main/packages,245,145
/carbon-design-system/carbon/tree/main/packages/web-components,202,158
/carbon-design-system/carbon/tree/main/packages/icons,151,123
/carbon-design-system/carbon/releases,137,59
/carbon-design-system/carbon/tree/main/packages/react/src/components,99,59
