url_path,views_total,views_unique
/carbon-design-system/carbon,1617,1061
/carbon-design-system/carbon/issues,577,181
/carbon-design-system/carbon/tree/main/packages/react,448,367
/carbon-design-system/carbon/pulls,421,67
/carbon-design-system/carbon/commits,336,23
/carbon-design-system/carbon/tree/main/packages,211,131
/carbon-design-system/carbon/tree/main/packages/web-components,187,148
/carbon-design-system/carbon/tree/main/packages/icons,149,119
/carbon-design-system/carbon/releases,120,61
/carbon-design-system/carbon/tree/main,116,75
