url_path,views_total,views_unique
/carbon-design-system/carbon,1886,1174
/carbon-design-system/carbon/tree/main/packages/react,833,565
/carbon-design-system/carbon/issues,622,220
/carbon-design-system/carbon/pulls,376,63
/carbon-design-system/carbon/tree/main/packages,325,184
/carbon-design-system/carbon/blob/main/docs/migration/v11.md,290,138
/carbon-design-system/carbon/tree/main/packages/web-components,281,198
/carbon-design-system/carbon/tree/main/packages/icons,237,170
/carbon-design-system/carbon/tree/main,142,107
/carbon-design-system/carbon/tree/main/packages/react/src/components,141,101
