time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,179,12,1714,257
2024-08-28 00:00:00+00:00,648,14,5493,637
2024-08-29 00:00:00+00:00,494,14,4907,614
2024-08-30 00:00:00+00:00,628,15,4141,520
2024-08-31 00:00:00+00:00,243,8,842,158
2024-09-01 00:00:00+00:00,10,6,1332,154
2024-09-02 00:00:00+00:00,437,18,3564,492
2024-09-03 00:00:00+00:00,614,12,4884,647
2024-09-04 00:00:00+00:00,726,12,4454,648
2024-09-05 00:00:00+00:00,833,17,4921,669
2024-09-06 00:00:00+00:00,564,12,3900,530
2024-09-07 00:00:00+00:00,205,7,1169,210
2024-09-08 00:00:00+00:00,21,3,1020,176
2024-09-09 00:00:00+00:00,573,11,4036,569
2024-09-10 00:00:00+00:00,353,7,2720,355
