time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-25 00:00:00+00:00,607,58,1350,248
2025-02-26 00:00:00+00:00,995,101,3185,648
2025-02-27 00:00:00+00:00,255,33,2500,624
2025-02-28 00:00:00+00:00,1083,50,1968,567
2025-03-01 00:00:00+00:00,99,29,618,176
2025-03-02 00:00:00+00:00,162,37,504,173
2025-03-03 00:00:00+00:00,1166,136,2737,625
2025-03-04 00:00:00+00:00,1208,198,3407,652
2025-03-05 00:00:00+00:00,1118,159,2975,594
2025-03-06 00:00:00+00:00,833,146,3122,614
2025-03-07 00:00:00+00:00,768,132,2271,491
2025-03-08 00:00:00+00:00,27,14,835,164
2025-03-09 00:00:00+00:00,125,30,582,155
2025-03-10 00:00:00+00:00,573,62,2548,594
2025-03-11 00:00:00+00:00,257,27,1670,331
