referrer,views_total,views_unique
carbondesignsystem.com,8362,1070
Google,7107,1892
react.carbondesignsystem.com,3637,383
github.com,2354,245
npmjs.com,643,55
v10.carbondesignsystem.com,638,80
ibm.com,469,93
v7-react.carbondesignsystem.com,261,53
github.ibm.com,138,39
statics.teams.cdn.office.net,108,20
