url_path,views_total,views_unique
/carbon-design-system/carbon,2214,1297
/carbon-design-system/carbon/issues,954,251
/carbon-design-system/carbon/pulls,930,87
/carbon-design-system/carbon/tree/main/packages/react,847,575
/carbon-design-system/carbon/tree/main/packages,331,198
/carbon-design-system/carbon/tree/main/packages/web-components,310,211
/carbon-design-system/carbon/tree/main/packages/icons,292,218
/carbon-design-system/carbon/releases,215,120
/carbon-design-system/carbon/tree/main/packages/react/src/components,165,93
/carbon-design-system/carbon/tree/main,158,102
