time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-13 00:00:00+00:00,234,28,2073,301
2023-12-14 00:00:00+00:00,543,59,4561,637
2023-12-15 00:00:00+00:00,392,43,3780,524
2023-12-16 00:00:00+00:00,46,15,1074,153
2023-12-17 00:00:00+00:00,126,30,1237,191
2023-12-18 00:00:00+00:00,273,37,3455,550
2023-12-19 00:00:00+00:00,1052,83,4224,560
2023-12-20 00:00:00+00:00,305,35,3916,546
2023-12-21 00:00:00+00:00,116,17,3615,487
2023-12-22 00:00:00+00:00,99,15,2329,353
2023-12-23 00:00:00+00:00,46,8,960,140
2023-12-24 00:00:00+00:00,34,15,618,118
2023-12-25 00:00:00+00:00,84,13,787,152
2023-12-26 00:00:00+00:00,60,8,1781,316
2023-12-27 00:00:00+00:00,45,10,1334,194
