referrer,views_total,views_unique
github.com,1602,336
carbondesignsystem.com,1484,603
Google,1246,573
react.carbondesignsystem.com,772,250
ibm.com,147,29
iconsear.ch,131,56
statics.teams.cdn.office.net,72,23
web-components.carbondesignsystem.com,68,22
Bing,62,25
chatgpt.com,61,24
