url_path,views_total,views_unique
/carbon-design-system/carbon,2202,1269
/carbon-design-system/carbon/pulls,1235,78
/carbon-design-system/carbon/issues,965,216
/carbon-design-system/carbon/tree/main/packages/react,884,617
/carbon-design-system/carbon/tree/main/packages,323,198
/carbon-design-system/carbon/tree/main/packages/icons,293,208
/carbon-design-system/carbon/tree/main/packages/web-components,259,195
/carbon-design-system/carbon/commits,215,16
/carbon-design-system/carbon/releases,182,91
/carbon-design-system/carbon/tree/main,181,118
