time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-28 00:00:00+00:00,458,14,1632,311
2023-03-01 00:00:00+00:00,586,33,3676,702
2023-03-02 00:00:00+00:00,489,26,3927,749
2023-03-03 00:00:00+00:00,576,26,3445,635
2023-03-04 00:00:00+00:00,12,9,990,203
2023-03-05 00:00:00+00:00,69,25,792,188
2023-03-06 00:00:00+00:00,533,28,3037,652
2023-03-07 00:00:00+00:00,340,19,3923,757
2023-03-08 00:00:00+00:00,337,27,4014,630
2023-03-09 00:00:00+00:00,539,31,4031,748
2023-03-10 00:00:00+00:00,464,23,3204,637
2023-03-11 00:00:00+00:00,150,5,808,196
2023-03-12 00:00:00+00:00,138,9,814,182
2023-03-13 00:00:00+00:00,544,20,3289,695
2023-03-14 00:00:00+00:00,165,11,1552,356
