time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-16 00:00:00+00:00,193,6,1942,279
2024-07-17 00:00:00+00:00,285,10,4630,680
2024-07-18 00:00:00+00:00,158,9,4290,648
2024-07-19 00:00:00+00:00,871,8,4514,597
2024-07-20 00:00:00+00:00,129,8,650,158
2024-07-21 00:00:00+00:00,22,4,825,155
2024-07-22 00:00:00+00:00,468,11,4479,605
2024-07-23 00:00:00+00:00,405,7,5116,707
2024-07-24 00:00:00+00:00,388,11,5075,669
2024-07-25 00:00:00+00:00,510,7,4413,648
2024-07-26 00:00:00+00:00,233,7,3641,527
2024-07-27 00:00:00+00:00,9,4,1184,157
2024-07-28 00:00:00+00:00,18,4,831,140
2024-07-29 00:00:00+00:00,571,7,4005,609
2024-07-30 00:00:00+00:00,69,5,2058,375
