url_path,views_total,views_unique
/carbon-design-system/carbon,2453,1448
/carbon-design-system/carbon/pulls,1292,74
/carbon-design-system/carbon/issues,549,169
/carbon-design-system/carbon/tags,489,140
/carbon-design-system/carbon/tree/main/packages/react,485,378
/carbon-design-system/carbon/tree/main/packages/web-components,201,167
/carbon-design-system/carbon/tree/main/packages/icons,191,134
/carbon-design-system/carbon/releases,162,79
/carbon-design-system/carbon/tree/main/packages,159,115
/carbon-design-system/carbon/discussions,113,20
