referrer,views_total,views_unique
Google,5671,2337
carbondesignsystem.com,3646,1007
github.com,2265,272
react.carbondesignsystem.com,1315,334
ibm.com,442,84
next.carbondesignsystem.com,254,40
github.ibm.com,157,32
v10.carbondesignsystem.com,152,48
yandex.ru,86,11
DuckDuckGo,85,20
