url_path,views_total,views_unique
/carbon-design-system/carbon,2572,1358
/carbon-design-system/carbon/tree/main/packages/react,1893,650
/carbon-design-system/carbon/tree/main/packages,1109,284
/carbon-design-system/carbon/issues,776,226
/carbon-design-system/carbon/tree/main/packages/react/src/components,774,217
/carbon-design-system/carbon/blob/main/docs/migration/v11.md,570,154
/carbon-design-system/carbon/tree/v10/packages/react,525,240
/carbon-design-system/carbon/pulls,500,78
/carbon-design-system/carbon/tree/main/packages/react/src,468,166
/carbon-design-system/carbon/tree/v10/packages/icons,391,174
