time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-06 00:00:00+00:00,2,2,251,63
2024-10-07 00:00:00+00:00,720,12,3189,624
2024-10-08 00:00:00+00:00,758,11,3236,621
2024-10-09 00:00:00+00:00,838,13,2917,621
2024-10-10 00:00:00+00:00,654,17,3124,643
2024-10-11 00:00:00+00:00,560,11,2382,539
2024-10-12 00:00:00+00:00,7,6,796,153
2024-10-13 00:00:00+00:00,12,4,619,165
2024-10-14 00:00:00+00:00,938,18,2339,578
2024-10-15 00:00:00+00:00,454,9,3078,698
2024-10-16 00:00:00+00:00,748,10,3522,727
2024-10-17 00:00:00+00:00,713,10,3369,718
2024-10-18 00:00:00+00:00,717,14,2755,625
2024-10-19 00:00:00+00:00,93,3,572,185
2024-10-20 00:00:00+00:00,1,1,336,85
